A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
36.8,49.2,71.2,146.8,218.0,2.78,0.38,1.24,44.0,58.0,78.0,156.0,234.0,3.38,0.42,1.46,34.0,38.0,68.0,134.0,204.0,2.2,0.34,1.06,0.0
38.4,47.6,78.8,172.8,251.6,2.38,0.35,1.05,50.0,56.0,104.0,220.0,296.0,3.08,0.4,1.28,32.0,38.0,70.0,156.0,228.0,0.9,0.25,0.6,0.0
37.2,52.0,81.2,157.2,238.4,2.47,0.4,1.09,54.0,68.0,124.0,166.0,290.0,2.81,0.48,1.25,32.0,44.0,66.0,152.0,222.0,2.33,0.34,1.02,0.0
33.6,47.6,74.4,159.6,234.0,2.63,0.38,1.15,36.0,58.0,82.0,168.0,244.0,2.96,0.43,1.25,30.0,40.0,68.0,148.0,222.0,2.46,0.33,1.08,0.0
35.2,48.8,76.8,156.0,232.8,2.65,0.39,1.12,42.0,58.0,88.0,162.0,250.0,2.89,0.43,1.23,32.0,40.0,70.0,150.0,224.0,2.42,0.35,1.01,0.0
37.2,46.0,77.2,147.6,224.8,2.62,0.38,1.14,40.0,50.0,88.0,156.0,236.0,2.98,0.4,1.21,36.0,42.0,68.0,140.0,208.0,2.19,0.36,1.04,0.0
34.0,230.0,331.2,278.0,609.2,1.21,0.79,1.34,42.0,326.0,514.0,366.0,880.0,2.61,0.91,3.42,30.0,34.0,66.0,144.0,210.0,0.19,0.33,0.4,0.0
33.2,161.2,220.0,244.8,464.8,1.78,0.57,1.04,38.0,418.0,512.0,444.0,956.0,3.24,0.94,1.35,28.0,28.0,64.0,152.0,216.0,0.36,0.28,0.72,0.0
34.8,46.8,70.0,160.8,230.8,2.51,0.36,1.08,44.0,58.0,72.0,174.0,244.0,2.85,0.42,1.3,30.0,38.0,68.0,150.0,220.0,1.88,0.27,0.9,0.0
38.0,44.4,73.6,146.0,219.6,2.57,0.36,1.18,44.0,48.0,80.0,154.0,232.0,3.01,0.39,1.33,34.0,40.0,64.0,134.0,212.0,2.32,0.34,1.02,0.0
37.2,46.0,78.8,144.0,222.8,2.55,0.39,1.21,48.0,56.0,94.0,168.0,250.0,2.84,0.45,1.34,34.0,26.0,68.0,120.0,188.0,2.33,0.32,1.14,0.0
35.6,48.8,80.4,156.4,236.8,2.47,0.39,1.15,40.0,76.0,108.0,168.0,276.0,2.76,0.54,1.26,34.0,38.0,66.0,144.0,212.0,2.2,0.33,1.08,0.0
34.4,42.4,76.4,156.4,232.8,2.56,0.36,1.13,38.0,46.0,82.0,162.0,236.0,2.76,0.39,1.19,32.0,38.0,72.0,152.0,224.0,2.42,0.35,1.06,0.0
33.6,45.2,69.2,138.8,208.0,2.53,0.39,1.19,36.0,50.0,74.0,152.0,222.0,2.7,0.41,1.26,30.0,38.0,60.0,126.0,186.0,2.2,0.37,1.11,0.0
36.8,52.4,79.6,160.4,240.0,2.76,0.4,1.15,40.0,56.0,84.0,168.0,246.0,3.0,0.41,1.19,34.0,48.0,74.0,152.0,234.0,2.38,0.39,1.09,0.0
34.0,57.6,77.6,163.6,241.2,2.87,0.42,1.13,44.0,70.0,92.0,172.0,264.0,3.1,0.45,1.15,28.0,44.0,70.0,154.0,226.0,2.66,0.36,1.1,0.0
34.8,57.2,74.8,159.6,234.4,2.83,0.41,1.15,36.0,66.0,80.0,164.0,242.0,3.09,0.45,1.18,32.0,50.0,70.0,154.0,228.0,2.73,0.39,1.09,0.0
38.0,102.0,164.4,178.4,342.8,1.72,0.58,1.05,42.0,200.0,318.0,230.0,548.0,2.82,0.88,1.22,36.0,46.0,76.0,140.0,216.0,0.36,0.37,0.87,0.0
34.4,44.4,72.0,150.8,222.8,2.67,0.37,1.18,38.0,54.0,76.0,158.0,234.0,2.77,0.42,1.27,32.0,38.0,64.0,146.0,212.0,2.61,0.33,1.11,0.0
36.0,49.2,76.8,154.4,231.2,2.66,0.39,1.13,44.0,58.0,86.0,160.0,242.0,2.79,0.42,1.2,32.0,40.0,68.0,150.0,224.0,2.58,0.36,1.09,0.0
37.2,182.8,227.2,272.4,499.6,2.19,0.5,1.11,42.0,712.0,836.0,744.0,1580.0,2.71,0.95,1.2,32.0,42.0,70.0,148.0,220.0,0.35,0.37,0.93,0.0
